"Zone ID","Zone","City Code","TCS ID","Centre code","LISP","Add1","Add2","Add3","Pincode","City","State","Max","S1-ME1","S1-EC1","S2-ME2","S2-BT, CH, GG, MN, PH","S3-ME3","S3-EC2","S4-EC3","S4-AR, CY, IN, MA, PE","S5-CS1","S5-CE1","S6-CS2","S6-EE1","S7-CE2","S7-AG, EY, MT, PI","S8-EE2","S8-AE, TF, XL, XE","PWD FRIENDLY"
2,"IIT Bombay",60,2597,2001,"Padre Conceicao College of Engineering Goa","Agnel Technical Education Complex","Agnelgan, Verna","Salcette",403722,"Goa","Goa",260,142,67,42,166,142,66,151,56,147,17,134,30,165,30,171,28,YES
2,"IIT Bombay",60,1493,2002,"Shree Rayeshwar Institute Of Engineering And Information Technology","Shivshail, Karai","Shiroda,  North Goa","Ponda",403103,"Goa","Goa",90,48,23,14,57,48,23,52,20,63,8,58,13,0,0,0,0,NO
2,"IIT Bombay",3,170,2003,"L. J. Campus - A- Engineering Bldg.","L. J. Campus","Between Kataria Motors and Sanand-Sarkhej Circle ","Sarkhej-Gandhinagar Highway",382210,"Ahmedabad","Gujarat",500,298,213,289,222,298,213,193,339,288,227,306,208,451,89,465,134,YES
2,"IIT Bombay",3,170,2004,"L. J. Campus - B- Polytechnic Bldg.","L. J. Campus","Between Kataria Motors and Sanand-Sarkhej Circle ","Sarkhej-Gandhinagar Highway",382210,"Ahmedabad","Gujarat",230,139,99,135,104,139,99,83,145,131,103,139,95,0,0,0,0,NO
2,"IIT Bombay",3,170,2005,"L. J. Campus - C - L.J. Institute of Management Studies(MCA) Bldg.","L. J. Campus","Between Kataria Motors and Sanand-Sarkhej Circle ","Sarkhej-Gandhinagar Highway",382210,"Ahmedabad","Gujarat",170,101,72,98,75,101,72,59,104,94,74,100,68,0,0,0,0,NO
2,"IIT Bombay",3,1280,2006,"R.B. Institute of Management ","Opp. Hirawadi BRTS Bus Stand","Thakkarbapa Nagar",,382350,"Ahmedabad","Gujarat",150,82,59,80,61,82,59,51,90,81,64,86,59,128,26,151,44,NO
2,"IIT Bombay",3,2320,2007,"Shayona Institute of Business Management","Shayona Campus,","R. C. Tech Road","Ghatlodia",380061,"Ahmedabad","Gujarat",86,45,32,43,33,45,32,28,49,44,35,47,32,69,14,81,24,NO
2,"IIT Bombay",57,489,2008,"Kadi Sarva Vishwavidyalaya","Near KH-5 Circle","Sector-15",,382015,"Gandhinagar","Gujarat",227,157,15,136,35,176,0,57,61,0,94,103,70,0,15,53,8,NO
2,"IIT Bombay",57,498,2009,"LDRP Institute of Technology & Research","Near KH-5 Circle","Sector-15",,382015,"Gandhinagar","Gujarat",227,158,15,137,35,176,0,62,66,0,95,96,65,0,13,52,8,YES
2,"IIT Bombay",57,501,2010,"S.K. Patel Institute of Management & Computer Studies","Sarva Vidyalay Campus","Sector-23","GH-6 Road",382023,"Gandhinagar","Gujarat",227,158,15,137,35,167,0,53,57,0,95,108,73,0,13,39,6,YES
