Zone ID,Zone,City Code,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-ME1,S1-EC1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CS1,S5-CE1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE",PWD FRIENDLY
4,IIT Guwahati,65,,4001,Royal Group of Institutions,"Betkuchi, Opp. Tirupati Balaji Temple","ISBT, N.H.- 37",,781035,Guwahati,Assam,325,185,137,50,264,168,124,63,255,84,240,160,155,0,0,0,0,YES
4,IIT Guwahati,65,,4002,Edu Surge Guwahati,"Gotanagar, Guwahati Nursury","House No -7, Opp Radisson Blu Hotel","NH 37, Jalukbari",781011,Guwahati,Assam,300,117,86,23,122,106,78,18,73,51,146,114,110,166,40,168,98,NO
4,IIT Guwahati,65,,4003,Scholar's Institute of Technology and Management,"Garoghuli Road, Garchuk",,,781035,Guwahati,Assam,170,97,72,26,138,88,65,33,133,44,126,84,81,0,0,0,0,YES
4,IIT Guwahati,65,,4004,North Eastern Regional Institute of Management (NERIM),"Padma Nath Sarmah Bhawan, Tripura Road, Jayanagar",Khanapara,,781022,Guwahati,Assam,108,62,46,17,88,56,41,21,85,28,80,54,52,0,0,0,0,NO
4,IIT Guwahati,65,,4005,Central Institute of Plastic Engineering & Technology (CIPET) - Guwahati,Changsari,Dist. Kamrup,,781101,Guwahati,Assam,96,55,41,15,78,50,37,19,76,25,71,48,46,0,0,0,0,NO
4,IIT Guwahati,65,,4006,NETES Institute of Technology & Science Mirza,Shantipur,Mirza,,781125,Guwahati,Assam,110,63,47,17,90,57,42,22,87,29,82,55,53,0,0,0,0,NO
4,IIT Guwahati,65,,4007,TCS ILP CENTRE,"5th Floor, NEDFi House","Near Hanuman Mandir, G.S. Road, Dispur ",,781006,Guwahati,Assam,130,0,0,0,0,68,50,26,102,0,0,0,0,75,18,81,48,YES
4,IIT Guwahati,65,,4008,Assam Engineering Institute,"M.R.D. Road, Chandmari",,,781003,Guwahati,Assam,94,54,40,15,77,49,36,19,74,25,70,47,45,0,0,0,0,YES
4,IIT Guwahati,65,,4009,Regional Institute of Science & Technology (RIST),"Techno City, Killing Road","Baridua, 9th Mile",,793101,Ri Bhoi,Meghalaya,85,0,0,13,69,44,33,17,67,0,0,0,0,49,12,53,31,NO
4,IIT Guwahati,65,,4010,StudyLink Academy,"1st Floor, Uzzala Market","Fatasil, A.K Deb Road",,781009,Guwahati,Assam,90,52,38,14,73,0,0,0,0,24,67,45,43,0,0,0,0,NO
4,IIT Guwahati,84,,4011,Jorhat Engineering College,Village:-Garmur,PO:-JEC,,785007,Jorhat,Assam,157,79,79,0,157,98,60,0,157,72,86,73,85,0,0,0,0,YES
4,IIT Guwahati,84,,4012,J. B. College,JB College Road,Kakoti Gaon,Tarajan,785001,Jorhat,Assam,52,27,26,0,52,33,20,0,52,24,29,24,29,0,0,0,0,YES
4,IIT Guwahati,163,,4013,National Institute of Technology Silchar,"New CSE/ECE Building, Central Computer Centre",NIT Silchar,Dist. Cachar,788010,Silchar,Assam,210,80,91,57,95,80,90,0,118,52,101,103,50,98,55,104,49,YES
4,IIT Guwahati,171,,4014,Tezpur University,Napaam,Sonitpur,,784028,Tezpur,Assam,206,68,86,47,107,68,85,0,157,65,79,60,46,62,10,21,86,YES
4,IIT Guwahati,141,,4015,L. N. Mishra Institute of Economic Development and Social Change,"1, Bailey Road",Near Patna High Court,,800001,Patna,Bihar,135,97,35,103,29,97,35,95,37,79,53,36,96,0,0,0,0,NO
4,IIT Guwahati,141,,4016,UNO Digital Pvt. Ltd. GATE- 1,"GATE NO 1, Road No 2, Block 3 ",Patliputra Industrial Estate,Near P and M Mall,800013,Patna,Bihar,650,458,163,486,135,458,163,448,173,371,249,168,452,526,36,566,83,YES
4,IIT Guwahati,141,,4017,UNO Digital Pvt. Ltd. GATE- 2,"GATE NO 2 Road No 3, Block 3",Patliputra Industrial Estate,Near P and M Mall,800013,Patna,Bihar,930,644,229,683,189,644,229,630,243,521,350,236,635,739,50,810,119,YES
4,IIT Guwahati,141,,4018,Netaji Subhas Institute of Technology,Amhara,Bihta,,801118,Patna,Bihar,230,0,0,0,0,0,0,0,0,133,90,61,163,0,0,0,0,NO
4,IIT Guwahati,50,,4019,Indian School of Mines Dhanbad,ISM Dhanbad Internal Road,Sardar Patel Nagar,,826004,Dhanbad,Jharkhand,300,213,88,0,300,266,35,102,199,221,43,5,258,187,87,268,15,YES
4,IIT Guwahati,50,,4020,DAV Public School - Koyla Nagar,BCCL Township ,Koyla Nagar,,826005,Dhanbad,Jharkhand,112,80,33,0,112,100,13,38,75,84,17,2,98,0,0,0,0,YES
4,IIT Guwahati,50,,4021,K.K. Polytechnic,Nairo,P.O.: Bagsuma,,828109,Dhanbad,Jharkhand,82,59,24,0,82,73,10,28,55,61,12,2,72,52,24,74,5,NO
4,IIT Guwahati,50,,4022,Coalfield Institute of Technology,Near Hindustan Press,Bhelatand ,P.O. Nagnagar,826004,Dhanbad,Jharkhand,55,39,17,0,55,49,7,19,37,0,0,0,0,0,0,0,0,NO
4,IIT Guwahati,50,,4023,Genius.com Computer Education,MIG - 77 Housing Colony ,Bartand ,Nearest Land Mark - Dhanbad Bus Stand,826001,Dhanbad,Jharkhand,51,37,15,0,51,46,6,18,34,0,0,0,0,0,0,0,0,NO
4,IIT Guwahati,50,,4024,Smart Age Computers,"2nd Floor, Anjana Complex, Above Allahabad Bank",Bartand,,826001,Dhanbad,Jharkhand,46,33,14,0,46,41,6,16,31,0,0,0,0,0,0,0,0,NO
4,IIT Guwahati,75,,4025,Central Institute of Plastic Engineering & Technology (CIPET) - Imphal,Industrial Estate,Takyelpat,,795001,Imphal,Manipur,82,0,82,16,43,0,0,40,42,42,18,46,14,54,5,38,21,YES
4,IIT Guwahati,75,,4026,National Institute of Technology Manipur (Polytechnic Campus),Givernment Polytechnic Campus,Takyelpat,,795004,Imphal,Manipur,51,0,51,10,27,0,0,0,0,26,11,29,9,34,4,24,14,YES
4,IIT Guwahati,160,,4027,School of Technology - NEHU,"Department of Information Technology, 2nd Floor","School of Technology, NEHU, Umsing, East Khasi Hills",,793022,Shillong,Meghalaya,107,19,56,12,63,19,56,15,60,63,43,82,23,100,6,62,44,YES
4,IIT Guwahati,58,,4028,Sikkim Manipal Institute of Technology,National Highway 31A,Majitar,East Sikkim,737136,Rangpo,Sikkim,110,0,0,36,12,5,53,0,31,16,50,33,33,45,20,59,6,YES
4,IIT Guwahati,1,,4029,ICFAI University Tripura,Agartala Simna Road,"P.O- Kamalghat, Sadar, Dist- Tripura West",,799210,Agartala,Tripura,80,42,29,31,40,42,29,27,44,0,79,67,0,67,8,70,6,NO
4,IIT Guwahati,1,,4030,Tripura University,Suryamaninagar,Tripura West,,799022,Agartala,Tripura,60,31,21,23,29,31,21,20,32,0,59,51,0,50,6,52,5,NO
4,IIT Guwahati,1,,4031,National Institute of Technology Agartala,P.O.: Former Tripura Engineering College,"Barjala, Jirania, West Tripura",,799055,Agartala,Tripura,85,42,29,31,40,42,29,27,44,0,84,72,0,71,9,74,6,YES
4,IIT Guwahati,1,,4032,Techno India Agartala,"Maheshkhola, PO : Anandanagar",Dist: West Tripura,,799004,Agartala,Tripura,50,0,0,0,0,0,0,0,0,0,50,42,0,42,5,44,4,NO
4,IIT Guwahati,17,,4033,Bengal College of Engineering and Technology (Engg Block),Shahid Sukumar Banerjee Sarani,Bidhan Nagar,,713212,Durgapur,West Bengal,242,129,108,72,125,131,110,0,171,156,76,49,182,145,41,178,47,YES
4,IIT Guwahati,17,,4034,Bengal College of Engineering and Technology (Women's Block),Shahid Sukumar Banerjee Sarani,Bidhan Nagar,,713212,Durgapur,West Bengal,89,48,40,27,46,48,41,0,63,58,28,18,67,53,16,66,17,NO
4,IIT Guwahati,17,,4035,Asansol Engineering College,Vivekananda Sarani,Kanyapur,Dist.: Burdwan,713305,Asansol,West Bengal,480,133,112,99,173,259,217,0,339,308,150,97,361,0,0,0,0,YES
