Zone ID,Zone,City Code,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-ME1,S1-EC1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CS1,S5-CE1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE",PwD-Friendly
5,IIT KANPUR,2,,5001,Anand Engineering College,Agra-Delhi Highway  NH2  Keetham,Agra Uttar Pradesh India,,282007,Agra,Uttar Pradesh,300,188,102,101,107,195,106,51,66,65,153,165,53,197,17,223,58,YES
5,IIT KANPUR,2,,5002,Hindustan Institute Of Technology And Management,Hindustan Institute of Technology and Management Agra 19 km stone NH 2,Agra Delhi Highway,,282007,Agra,Uttar Pradesh,200,110,60,97,103,124,67,83,108,60,141,152,49,123,10,104,28,YES
5,IIT KANPUR,2,,5003,K. P. Group of Institutions,NH-2 Agra-Firozabad Road Etmadpur,Agra Uttar Pradesh India,,283202,Agra,Uttar Pradesh,140,85,46,59,62,65,36,44,57,42,99,106,35,0,0,0,0,YES
5,IIT KANPUR,7,,5004,Mangalaytan University,"extended NCR, 33 Mile Stone Mathura Aligarh Highway",Uttar Pradesh India,,202145,Aligarh,Uttar Pradesh,200,143,58,1,200,143,58,26,175,102,64,53,113,144,22,76,91,YES
5,IIT KANPUR,7,,5005,Institute of Technology & Management,Aligarh – Palwal-Delhi Road Karsua Aligarh,Uttar Pradesh India,,202001,Aligarh,Uttar Pradesh,246,175,72,1,245,175,71,32,214,119,75,62,132,169,26,88,106,YES
5,IIT KANPUR,8,,5006,Shambhunath Institute of Engineering And Technology,Near IIIT Jhalwa Allahabad,Uttar Pradesh India,,211012,Allahabad,Uttar Pradesh,401,222,180,265,136,222,179,110,212,187,215,148,254,193,70,203,90,YES
5,IIT KANPUR,8,,5007,United Institute of Technology,D2 and 3 Upsidc Industrial Area ,Naini-Allahabad,,211010,Allahabad,Uttar Pradesh,308,171,139,199,102,171,138,69,132,140,161,111,190,193,70,198,88,YES
5,IIT KANPUR,8,,5008,B.B.S. Group of Institutions, Gaddopur Phaphamau Allahabad,Uttar Pradesh India,,211013,Allahabad,Uttar Pradesh,350,194,157,154,79,194,157,56,107,136,157,108,185,78,28,182,81,YES
5,IIT KANPUR,8,,5009,United College of Engineering and Research naini Ald,A-31 UPSIDC Industrial Area Naini-Allahabad,Uttar Pradesh India,,211010,Allahabad,Uttar Pradesh,150,84,68,100,51,83,68,52,99,70,81,56,95,0,0,0,0,YES
5,IIT KANPUR,8,,5010,Madhu Vachaspati Institute Of Engineering & Technology,Koilaha Puramufti  G.T. Road-Kaushambi,Uttar Pradesh India,,212213,Allahabad,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES
