Zone ID,Zone,City Code,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-ME1,S1-EC1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CS1,S5-CE1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE"
8,IIT Roorkee,11,,8001,Guru Nanak Institute of Technology,Hema Majra Road,Mullana,,133203,Ambala,Haryana,400,190,91,286,79,50,50,220,79,0,175,324,0,110,14,100,20
8,IIT Roorkee,13,,8002,Global Institute of Management & Emerging Technologies,11th Kms. Stone Amritsar-Jammu Highway NH-54,Sohian Khurd,,143501,Amritsar,Punjab,500,0,0,167,110,30,341,0,120,0,0,433,0,96,5,121,75
8,IIT Roorkee,13,,8003,Khalsa College of Engineering & Technology,C-Block Ranjit Avenue,,,143001,Amritsar,Punjab,170,0,0,79,52,11,120,0,113,0,0,125,0,80,5,81,51
8,IIT Roorkee,26,,8004,Baba Farid Group of Institutions,Muktsar Road,Village-Deon,,151001,Bathinda,Punjab,400,0,0,0,0,0,0,0,0,215,84,170,130,134,7,209,31
8,IIT Roorkee,26,,8005,Guru Kashi University,Sardulgarh Road,Talwandi Sabo,,151302,Bathinda,Punjab,260,79,174,177,65,25,25,13,119,154,61,121,93,117,7,166,25
8,IIT Roorkee,26,,8006,Malout Institute of Management & Information Technology,Green Field Enclave,Near New Grain Market,District-Muktsar,152107,Malout,Punjab,220,65,144,148,54,25,25,10,98,0,0,0,0,0,0,0,0
8,IIT Roorkee,39,,8007,Chandigarh University Gharuan,NH-95 Chandigarh-Ludhiana Highway,Gharuan,District-Mohali,140413,Mohali,Punjab,700,208,181,123,152,209,181,81,118,168,226,352,126,0,0,0,0
8,IIT Roorkee,39,,8008,Chandigarh Group of Colleges,Village-Landran,,,140307,Mohali,Punjab,510,143,124,118,146,143,124,93,136,101,136,196,70,214,43,117,128
8,IIT Roorkee,39,,8009,Rayat Bahra Skill Development Centre,Sahauran 12Kms. from Chandigarh on Chandigarh Mohali-Ropar Highway,District Mohali,Near Kharar,140104,Mohali,Punjab,430,149,129,123,152,149,129,81,118,120,162,329,118,72,15,156,171
8,IIT Roorkee,39,,8010,Gian Jyoti Institute of Management & Technology,"Phase II, Mohali",Sector 54,Near Bassi Theatre,160055,Mohali,Punjab,250,119,104,98,122,119,104,81,118,96,129,157,56,72,15,78,86
8,IIT Roorkee,39,,8011,SAS Institute of IT & Research,C-124 Phase VIII,Industrial Area,Sector-72,160059,Mohali,Punjab,230,121,105,86,106,119,103,72,106,105,140,180,65,72,15,79,87
8,IIT Roorkee,39,,8012,Institute of Engineering & Technology Bhaddal,Village Bhaddal,PO-Mianpur,,140108,Ropar,Punjab,300,149,129,123,152,149,129,81,118,120,162,196,70,63,13,94,103
8,IIT Roorkee,48,,8013,Graphic Era University,566/6 Bell Road,Clement Town,,248001,Dehradun,Uttarakhand,600,233,148,110,141,233,148,46,135,109,342,378,124,157,44,263,69
8,IIT Roorkee,48,,8014,Uttarnachal University,Arcadia Grant,Chandanwari,Prem Nagar,248001,Dehradun,Uttarakhand,500,153,98,110,141,153,98,46,135,85,266,0,0,0,0,0,0
8,IIT Roorkee,48,,8015,Devbhoomi Group of Institutions,Chakrata Road,Navgaon,Manduwala,248007,Dehradun,Uttarakhand,400,153,98,110,141,153,98,46,135,61,190,302,99,118,33,199,52
8,IIT Roorkee,48,,8016,JB Institute of Technology,23-Milestone  NH-7,Village-Shankarpur,Chakrata Road,248197,Dehradun,Uttarakhand,310,135,86,97,124,135,86,46,135,49,152,166,55,118,33,175,46
8,IIT Roorkee,48,,8017,Tulas Institute,Chakrata Road,Dhoolkot,Near Selaqui,248197,Dehradun,Uttarakhand,220,126,80,88,112,126,80,45,135,39,121,156,51,110,31,153,40
8,IIT Roorkee,59,,8018,ABES Engineering College,19th Kms. Stone,NH-24 Delhi-Hapur Bypass Road,Near Crossings Republik Vijay Nagar,201009,Ghaziabad,Uttar Pradesh,600,208,103,178,23,198,104,170,66,69,129,213,63,169,7,261,15
8,IIT Roorkee,59,,8019,Ajay Kumar Garg Engineering College,27th Kms. Stone,NH-24 Delhi-Hapur Bypass Road,Adhyatmik Nagar,201009,Ghaziabad,Uttar Pradesh,550,322,159,296,38,302,158,170,66,193,362,383,113,85,4,225,13
8,IIT Roorkee,59,,8020,Institute of Technology & Science,NH-24 GT Road,Mohan Nagar,,201007,Ghaziabad,Uttar Pradesh,410,179,89,296,38,168,88,170,66,108,202,263,78,85,4,225,13
8,IIT Roorkee,59,,8021,Babu Banarsi Das Institute of Technology,7th Kms. from Ghaziabad,on NH-58 Delhi-Meerut Road,Duhai,201206,Ghaziabad,Uttar Pradesh,400,179,89,296,38,168,88,170,66,108,202,213,63,85,4,180,10
8,IIT Roorkee,59,,8022,IDEAL Institute of Technology,Ideal Knowledge Park,Ideal Nagar Near Gaur Homes,Govind Puram,201003,Ghaziabad,Uttar Pradesh,439,161,79,264,34,154,81,161,63,88,165,213,63,59,3,137,8
8,IIT Roorkee,67,,8023,Amrapali Group of Institutes,Shiksha Nagar Lamachaur,Kaladhungi Road Haldwani,District-Nainital,263139,Haldwani,Uttarakhand,370,150,71,56,145,151,70,50,101,119,83,105,67,108,64,106,65
8,IIT Roorkee,67,,8024,Graphic Era Hill University,Sattal Road Bhimtal,Bhowali,District-Nainital,263132,Bhimtal,Uttarakhand,240,135,64,49,127,136,64,46,93,86,60,108,68,111,65,110,67
8,IIT Roorkee,68,,8025,National Institute of Technology Hamirpur,Anu Road,,,177005,Hamirpur,Himachal Pradesh,225,152,73,152,73,152,73,131,95,22,179,145,56,198,4,134,67
8,IIT Roorkee,68,,8026,KC Group of Institutions,Near Excise Barrier,VPO-Pandoga,Hoshiarpur Road,177207,Una,Himachal Pradesh,140,95,46,95,46,95,46,80,58,14,116,94,36,128,2,86,44
8,IIT Roorkee,79,,8027,CT Group of Institutions,Shahpur Campus,PO-Udopur,Near Lambra,144020,Jalandhar,Punjab,450,173,178,180,71,0,0,89,62,0,201,261,72,0,68,0,0
8,IIT Roorkee,79,,8028,Lyallpur Khalsa College of Engineering,Cantt Road,Opp. Old Lyallpur Khalsa College,Defence Colony,144001,Jalandhar,Punjab,300,124,127,180,71,0,0,89,62,0,201,167,47,0,0,63,38
8,IIT Roorkee,79,,8029,Lovely Professional University - Centre-1 (Blocks 25 - 28),Jalandhar-Delhi G.T. Road NH-1,Chaheru,,144411,Phagwara,Punjab,500,197,203,251,99,0,0,89,62,0,201,134,37,0,0,0,0
8,IIT Roorkee,79,,8030,Lovely Professional University - Centre-2 (Blocks 33 - 34),Jalandhar-Delhi G.T. Road NH-1,Chaheru,,144411,Phagwara,Punjab,500,189,194,176,69,0,0,82,58,0,131,334,93,0,0,138,84
8,IIT Roorkee,107,,8031,Geeta Institute of Management & Technology Kanipla,166th Kms. Milestone on G.T. Road,Village-Kanipla,,136119,Kurukshetra,Haryana,470,130,272,143,108,0,0,16,115,34,227,84,32,0,0,0,0
8,IIT Roorkee,107,,8032,Kurukshetra Institute of Technology & Management,Kurukshetra-Pehowa Road,Bhor Saidan,,136119,Kurukshetra,Haryana,270,72,150,126,95,0,0,12,89,21,142,174,65,10,24,97,25
8,IIT Roorkee,107,,8033,Modern Institute of Engineering & Technology,12 Kms. from Ambala Cantt on NH-1,Village-Mohri,Tehsil Sahabad,136135,Kurukshetra,Haryana,190,55,114,88,66,0,0,13,93,13,85,122,46,0,0,80,20
