      1  t, AE, 109, 5
      1  t, AE, 174, 7
      1  t, AE, 179, 7
      1  t, AE, 23, 1
      1  t, AE, 44, 7
      1  t, AE, 56, 3
      1  t, AE, 97, 6
      1  t, AG, 117, 8
      1  t, AG, 158, 2
      1  t, AG, 181, 1
      1  t, AG, 183, 3
      1  t, AG, 24, 7
      1  t, AG, 78, 3
      1  t, AG, 8, 5
      1  t, AG, 87, 4
      1  t, AG, 90, 5
      1  t, AR, 117, 8
      1  t, AR, 11, 8
      1  t, AR, 159, 2
      1  t, AR, 171, 4
      1  t, AR, 178, 7
      1  t, AR, 64, 3
      1  t, AR, 68, 8
      1  t, AR, 73, 2
      1  t, AR, 89, 1
      1  t, AR, 93, 3
      1  t, AR, 99, 2
      1  t, BT, 12, 2
      1  t, BT, 130, 7
      1  t, BT, 155, 7
      1  t, BT, 159, 2
      1  t, BT, 163, 4
      1  t, BT, 16, 7
      1  t, BT, 193, 7
      1  t, BT, 3, 2
      1  t, BT, 37, 3
      1  t, BT, 49, 3
      1  t, BT, 54, 7
      1  t, BT, 66, 5
      1  t, BT, 73, 2
      1  t, BT, 7, 5
      1  t, BT, 78, 3
      1  t, BT, 79, 8
      1  t, BT, 8, 5
      1  t, BT, 97, 6
      1  t, CE, 10, 3
      1  t, CE, 113, 1
      1  t, CE, 116, 3
      1  t, CE, 126, 2
      1  t, CE, 127, 2
      1  t, CE, 133, 7
      1  t, CE, 144, 7
      1  t, CE, 154, 8
      1  t, CE, 158, 2
      1  t, CE, 161, 1
      1  t, CE, 163, 4
      1  t, CE, 16, 7
      1  t, CE, 168, 8
      1  t, CE, 170, 6
      1  t, CE, 182, 7
      1  t, CE, 188, 7
      1  t, CE, 194, 8
      1  t, CE, 20, 1
      1  t, CE, 22, 6
      1  t, CE, 32, 6
      1  t, CE, 37, 3
      1  t, CE, 40, 1
      1  t, CE, 51, 7
      1  t, CE, 61, 7
      1  t, CE, 63, 7
      1  t, CE, 69, 1
      1  t, CE, 72, 1
      1  t, CE, 74, 1
      1  t, CE, 84, 4
      1  t, CE, 9, 1
      1  t, CE, 94, 7
      1  t, CE, 96, 7
      1  t, CH, 105, 1
      1  t, CH, 114, 1
      1  t, CH, 121, 1
      1  t, CH, 124, 7
      1  t, CH, 127, 2
      1  t, CH, 132, 8
      1  t, CH, 14, 2
      1  t, CH, 147, 6
      1  t, CH, 149, 2
      1  t, CH, 15, 1
      1  t, CH, 153, 6
      1  t, CH, 159, 2
      1  t, CH, 162, 3
      1  t, CH, 168, 8
      1  t, CH, 171, 4
      1  t, CH, 17, 4
      1  t, CH, 184, 3
      1  t, CH, 186, 2
      1  t, CH, 189, 6
      1  t, CH, 19, 2
      1  t, CH, 192, 6
      1  t, CH, 201, 6
      1  t, CH, 21, 3
      1  t, CH, 25, 5
      1  t, CH, 31, 6
      1  t, CH, 3, 2
      1  t, CH, 34, 6
      1  t, CH, 38, 6
      1  t, CH, 45, 7
      1  t, CH, 46, 6
      1  t, CH, 48, 8
      1  t, CH, 49, 3
      1  t, CH, 5, 3
      1  t, CH, 55, 7
      1  t, CH, 57, 2
      1  t, CH, 66, 5
      1  t, CH, 70, 3
      1  t, CH, 80, 2
      1  t, CH, 84, 4
      1  t, CH, 86, 6
      1  t, CS, 102, 3
      1  t, CS, 104, 1
      1  t, CS, 112, 2
      1  t, CS, 113, 1
      1  t, CS, 130, 7
      1  t, CS, 137, 8
      1  t, CS, 138, 8
      1  t, CS, 139, 8
      1  t, CS, 14, 2
      1  t, CS, 149, 2
      1  t, CS, 153, 6
      1  t, CS, 154, 8
      1  t, CS, 156, 6
      1  t, CS, 161, 1
      1  t, CS, 163, 4
      1  t, CS, 166, 8
      1  t, CS, 170, 6
      1  t, CS, 175, 7
      1  t, CS, 176, 7
      1  t, CS, 177, 1
      1  t, CS, 182, 7
      1  t, CS, 183, 3
      1  t, CS, 190, 7
      1  t, CS, 191, 7
      1  t, CS, 22, 6
      1  t, CS, 24, 7
      1  t, CS, 27, 1
      1  t, CS, 29, 6
      1  t, CS, 30, 2
      1  t, CS, 32, 6
      1  t, CS, 36, 1
      1  t, CS, 40, 1
      1  t, CS, 43, 7
      1  t, CS, 44, 7
      1  t, CS, 47, 1
      1  t, CS, 51, 7
      1  t, CS, 5, 3
      1  t, CS, 53, 6
      1  t, CS, 68, 8
      1  t, CS, 69, 1
      1  t, CS, 75, 4
      1  t, CS, 89, 1
      1  t, CS, 93, 3
      1  t, CY, 119, 2
      1  t, CY, 121, 1
      1  t, CY, 123, 2
      1  t, CY, 130, 7
      1  t, CY, 141, 4
      1  t, CY, 144, 7
      1  t, CY, 147, 6
      1  t, CY, 148, 6
      1  t, CY, 158, 2
      1  t, CY, 170, 6
      1  t, CY, 173, 7
      1  t, CY, 17, 4
      1  t, CY, 176, 7
      1  t, CY, 178, 7
      1  t, CY, 193, 7
      1  t, CY, 2, 5
      1  t, CY, 25, 5
      1  t, CY, 27, 1
      1  t, CY, 30, 2
      1  t, CY, 32, 6
      1  t, CY, 44, 7
      1  t, CY, 46, 6
      1  t, CY, 53, 6
      1  t, CY, 54, 7
      1  t, CY, 64, 3
      1  t, CY, 65, 4
      1  t, CY, 67, 8
      1  t, CY, 70, 3
      1  t, CY, 71, 6
      1  t, CY, 72, 1
      1  t, CY, 76, 3
      1  t, CY, 80, 2
      1  t, EC, 106, 1
      1  t, EC, 115, 1
      1  t, EC, 116, 3
      1  t, EC, 11, 8
      1  t, EC, 118, 8
      1  t, EC, 120, 1
      1  t, EC, 133, 7
      1  t, EC, 135, 1
      1  t, EC, 142, 1
      1  t, EC, 145, 1
      1  t, EC, 151, 2
      1  t, EC, 158, 2
      1  t, EC, 160, 4
      1  t, EC, 162, 3
      1  t, EC, 168, 8
      1  t, EC, 173, 7
      1  t, EC, 18, 1
      1  t, EC, 182, 7
      1  t, EC, 183, 3
      1  t, EC, 28, 1
      1  t, EC, 31, 6
      1  t, EC, 40, 1
      1  t, EC, 45, 7
      1  t, EC, 67, 8
      1  t, EC, 71, 6
      1  t, EC, 83, 3
      1  t, EC, 87, 4
      1  t, EC, 88, 1
      1  t, EC, 91, 7
      1  t, EC, 93, 3
      1  t, EC, 94, 7
      1  t, EC, 95, 1
      1  t, EE, 10, 3
      1  t, EE, 104, 1
      1  t, EE, 112, 2
      1  t, EE, 113, 1
      1  t, EE, 121, 1
      1  t, EE, 126, 2
      1  t, EE, 128, 2
      1  t, EE, 129, 1
      1  t, EE, 130, 7
      1  t, EE, 134, 1
      1  t, EE, 137, 8
      1  t, EE, 13, 8
      1  t, EE, 140, 8
      1  t, EE, 142, 1
      1  t, EE, 149, 2
      1  t, EE, 154, 8
      1  t, EE, 162, 3
      1  t, EE, 163, 4
      1  t, EE, 166, 8
      1  t, EE, 172, 2
      1  t, EE, 173, 7
      1  t, EE, 175, 7
      1  t, EE, 176, 7
      1  t, EE, 184, 3
      1  t, EE, 24, 7
      1  t, EE, 26, 8
      1  t, EE, 27, 1
      1  t, EE, 5, 3
      1  t, EE, 56, 3
      1  t, EE, 57, 2
      1  t, EE, 58, 4
      1  t, EE, 60, 2
      1  t, EE, 62, 1
      1  t, EE, 72, 1
      1  t, EE, 79, 8
      1  t, EE, 84, 4
      1  t, EE, 86, 6
      1  t, EE, 89, 1
      1  t, EE, 93, 3
      1  t, EY, 119, 2
      1  t, EY, 144, 7
      1  t, EY, 158, 2
      1  t, EY, 17, 4
      1  t, EY, 50, 4
      1  t, EY, 57, 2
      1  t, GG, 109, 5
      1  t, GG, 117, 8
      1  t, GG, 119, 2
      1  t, GG, 121, 1
      1  t, GG, 150, 6
      1  t, GG, 15, 1
      1  t, GG, 159, 2
      1  t, GG, 167, 2
      1  t, GG, 192, 6
      1  t, GG, 41, 7
      1  t, GG, 49, 3
      1  t, GG, 50, 4
      1  t, GG, 77, 5
      1  t, GG, 8, 5
      1  t, IN, 102, 3
      1  t, IN, 105, 1
      1  t, IN, 127, 2
      1  t, IN, 132, 8
      1  t, IN, 137, 8
      1  t, IN, 1, 4
