Zone, Enrollment, PwD-Status, PaperCode, CenterCode, City, registrationId, City-Choice1, City-Choice2, City-Choice3, Alloted-Session, ChoiceNumber, OriginalFirstChoice
Zone4, B279N10, false, EC, 4025, 75, EC16S14025001, 75, 65, 199, 1, 1, 75
Zone4, B269V11, false, GG, 4025, 75, GG16S24025003, 75, 65, 199, 2, 1, 75
Zone4, B330D11, false, XL, 4041, 87, XL16S84041004, 87, 164, 199, 8, 1, 87
Zone4, B175C10, false, ME, 4039, 87, ME16S14039012, 87, 17, 199, 1, 1, 87
Zone4, B336S10, false, EE, 4015, 141, EE16S64015002, 141, 17, 200, 6, 1, 141
Zone4, B571E10, false, ME, 4015, 141, ME16S14015002, 141, 50, 200, 1, 1, 141
Zone4, B328F10, false, ME, 4019, 50, ME16S14019096, 50, 141, 199, 1, 1, 50
Zone4, B495Z10, false, CE, 4015, 141, CE16S54015001, 141, 50, 199, 5, 1, 141
Zone4, B149F10, false, EC, 4015, 141, EC16S14015001, 141, 50, 200, 1, 1, 141
Zone4, B605B10, false, EE, 4039, 87, EE16S64039014, 87, 164, 199, 6, 1, 87
Zone4, B144Z10, false, ME, 4015, 141, ME16S14015004, 141, 50, 200, 1, 1, 141
Zone4, B156T10, false, ME, 4011, 84, ME16S14011108, 84, 65, 199, 1, 1, 84
Zone4, B184N10, false, ME, 4001, 65, ME16S14001020, 65, 171, 199, 1, 1, 65
Zone4, B185D10, false, ME, 4014, 171, ME16S14014004, 171, 160, 199, 1, 1, 171
Zone4, B119X10, false, CY, 4012, 84, CY16S44012020, 84, 65, 199, 4, 1, 84
Zone4, B302K10, false, EC, 4033, 17, EC16S14033015, 17, 87, 199, 1, 1, 17
Zone4, B194P10, false, IN, 4012, 84, IN16S44012002, 84, 171, 199, 4, 1, 84
Zone4, B255G10, false, CE, 4011, 84, CE16S54011123, 84, 171, 199, 5, 1, 84
Zone4, B185A10, false, EE, 4001, 65, EE16S64001018, 65, 84, 199, 6, 1, 65
Zone4, B351C10, false, IN, 4012, 84, IN16S44012006, 84, 65, 200, 4, 1, 84
Zone4, B479T10, false, PH, 4011, 84, PH16S24011004, 84, 65, 200, 2, 1, 84
Zone4, B298A10, false, ME, 4001, 65, ME16S14001022, 65, 84, 199, 1, 1, 65
Zone4, B616N10, false, ME, 4011, 84, ME16S14011110, 84, 65, 199, 1, 1, 84
Zone4, B594B10, false, CS, 4011, 84, CS16S54011124, 84, 65, 199, 5, 1, 84
Zone4, B313M10, false, ME, 4019, 50, ME16S14019098, 50, 17, 199, 1, 1, 50
Zone4, B323H10, false, ME, 4015, 141, ME16S14015006, 141, 164, 199, 1, 1, 141
Zone4, B190N10, false, ME, 4015, 141, ME16S14015008, 141, 50, 199, 1, 1, 141
Zone4, B160G10, false, CE, 4011, 84, CE16S54011125, 84, 65, 199, 5, 1, 84
Zone4, B462G10, false, EE, 4015, 141, EE16S64015004, 141, 17, 199, 6, 1, 141
Zone4, B398Z10, false, EC, 4019, 50, EC16S44019158, 50, 141, 199, 4, 1, 50
Zone4, B529K10, false, EE, 4015, 141, EE16S64015006, 141, 50, 199, 6, 1, 141
