Zone, Enrollment, PwD-Status, PaperCode, CenterCode, City, registrationId, City-Choice1, City-Choice2, City-Choice3, Alloted-Session, ChoiceNumber, OriginalFirstChoice
Zone4, B545N10, true, ME, 4019, 50, ME16S14019002, 50, 17, 199, 1, 1, 50
Zone4, B345E10, true, CH, 4016, 141, CH16S24016002, 141, 50, 199, 2, 1, 141
Zone4, B328G11, true, CE, 4016, 141, CE16S54016001, 141, 50, 200, 5, 1, 141
Zone4, B286N11, true, CH, 4031, 1, CH16S24031002, 1, 65, 199, 2, 1, 1
Zone4, B329B11, true, EC, 4016, 141, EC16S14016001, 141, 50, 199, 1, 1, 141
Zone4, B372E12, true, EE, 4016, 141, EE16S64016002, 141, 50, 200, 6, 1, 141
Zone4, B371Y12, true, ME, 4016, 141, ME16S14016002, 141, 50, 199, 1, 1, 141
Zone4, B260A12, true, IN, 4016, 141, IN16S44016004, 141, 50, 199, 4, 1, 141
Zone4, B184V12, true, EE, 4019, 50, EE16S64019002, 50, 17, 199, 6, 1, 50
Zone4, B396E12, true, EE, 4019, 50, EE16S64019004, 50, 17, 199, 6, 1, 50
Zone4, B546P12, true, CS, 4016, 141, CS16S54016002, 141, 50, 199, 5, 1, 141
Zone4, B216N12, true, ME, 4016, 141, ME16S14016004, 141, 17, 199, 1, 1, 141
Zone4, B404B12, true, EC, 4016, 141, EC16S14016003, 141, 50, 200, 1, 1, 141
Zone4, B201S12, true, EE, 4033, 17, EE16S64033002, 17, 50, 199, 6, 1, 17
Zone4, B524K13, true, EE, 4016, 141, EE16S64016004, 141, 164, 200, 6, 1, 141
Zone4, B510T13, true, ME, 4016, 141, ME16S14016006, 141, 17, 199, 1, 1, 141
Zone4, B171H13, true, CS, 4016, 141, CS16S54016004, 141, 50, 199, 5, 1, 141
Zone4, B138B13, true, CS, 4019, 50, CS16S54019002, 50, 17, 200, 5, 1, 50
Zone4, B150U13, true, ME, 4019, 50, ME16S14019004, 50, 17, 199, 1, 1, 50
Zone4, B139K13, true, IN, 4011, 84, IN16S44011003, 84, 65, 199, 4, 1, 84
Zone4, B478S13, true, ME, 4044, 164, ME16S24044004, 164, 17, 199, 2, 1, 164
Zone4, B204U13, true, EC, 4013, 163, EC16S14013001, 163, 50, 199, 1, 1, 163
Zone4, B623K14, true, CE, 4016, 141, CE16S54016003, 141, 50, 199, 5, 1, 141
Zone4, B286F14, true, IN, 4031, 1, IN16S44031003, 1, 141, 199, 4, 1, 1
Zone4, B438M14, true, ME, 4016, 141, ME16S14016008, 141, 50, 200, 1, 1, 141
Zone4, B351W14, true, CE, 4016, 141, CE16S54016005, 141, 50, 199, 5, 1, 141
