Zone ID	Zone	City Code	TCS ID 	Centre code	LISP	Add1	Add2	Add3	Pincode	City	State	Max	S1-ME1	S1-EC1	S2-ME2	S2-BT,CH,GG,MN,PH	S3-ME3	S3-EC2	S4-EC3	S4-AR,CY,IN,MA,PE	S5-CS1	S5-CE1	S6-CS2	S6-EE1	S7-CE2	S7-AG,EY,MT,PI	S8-EE2	S8-AE,TF,XL,XE
5	IIT KANPUR	2		5001	Anand Engineering College	Agra-Delhi Highway  NH2  Keetham	Agra Uttar Pradesh India		282007	Agra	Uttar Pradesh	300	188	102	101	107	194	106	50	65	65	153	165	53	196	16	223	58
5	IIT KANPUR	2		5002	Hindustan Institute Of Technology And Management	Hindustan Institute of Technology and Management Agra 19 km stone NH 2	Agra Delhi Highway		282007	Agra	Uttar Pradesh	200	110	60	96	103	123	66	81	107	60	140	151	48	122	9	103	27
5	IIT KANPUR	2		5003	K. P. Group of Institutions	NH-2 Agra-Firozabad Road Etmadpur	Agra Uttar Pradesh India		283202	Agra	Uttar Pradesh	140	84	45	58	61	64	35	42	55	41	98	105	34	0	0	0	0
5	IIT KANPUR	7		5004	Mangalaytan University	extended NCR, 33 Mile Stone Mathura Aligarh Highway	Uttar Pradesh India		202145	Aligarh	Uttar Pradesh	200	143	57	1	199	142	58	26	174	102	64	53	113	144	22	76	90
5	IIT KANPUR	7		5005	Institute of Technology & Management	Aligarh ﾖ Palwal-Delhi Road Karsua Aligarh	Uttar Pradesh India		202001	Aligarh	Uttar Pradesh	246	174	72	0	243	174	70	31	213	119	75	61	132	168	25	87	104
5	IIT KANPUR	8		5006	Shambhunath Institute of Engineering And Technology	Near IIIT Jhalwa Allahabad	Uttar Pradesh India		211012	Allahabad	Uttar Pradesh	401	222	179	265	136	222	179	110	212	186	215	147	254	193	70	203	89
5	IIT KANPUR	8		5007	United Institute of Technology	D2 and 3 Upsidc Industrial Area	Naini-Allahabad		211010	Allahabad	Uttar Pradesh	308	170	138	199	102	171	137	68	132	140	161	111	189	192	69	197	87
5	IIT KANPUR	8		5008	B.B.S. Group of Institutions	Gaddopur Phaphamau Allahabad	Uttar Pradesh India		211013	Allahabad	Uttar Pradesh	350	193	156	153	79	193	156	55	107	136	156	108	184	77	27	181	80
5	IIT KANPUR	8		5009	United College of Engineering and Research naini Ald	A-31 UPSIDC Industrial Area Naini-Allahabad	Uttar Pradesh India		211010	Allahabad	Uttar Pradesh	150	83	67	99	50	82	67	51	98	69	80	55	94	0	0	0	0
5	IIT KANPUR	8		5010	Madhu Vachaspati Institute Of Engineering & Technology	Koilaha Puramufti  G.T. Road-Kaushambi	Uttar Pradesh India		212213	Allahabad	Uttar Pradesh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
