Zone, Enrollment, PwD-Status, PaperCode, CenterCode, City, registrationId, City-Choice1, City-Choice2, City-Choice3, Alloted-Session, ChoiceNumber, OriginalFirstChoice
Zone6, B441D76, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B375R76, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B240Z76, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B522T78, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B137V78, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B369G78, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B524K78, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B624J78, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B267W79, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B612Q79, false, EC, null, null, null, 46, 34, 192,  nulll, -1, 46
Zone6, B412E79, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B435Y79, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B234U79, false, EE, null, null, null, 71, 97, 100,  nulll, -1, 71
Zone6, B199X80, false, EE, null, null, null, 71, 97, 100,  nulll, -1, 71
Zone6, B395U81, false, EE, null, null, null, 71, 97, 34,  nulll, -1, 71
Zone6, B227R81, false, EE, null, null, null, 71, 97, 100,  nulll, -1, 71
Zone6, B231G81, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B341U82, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B327Y82, false, EC, null, null, null, 46, 34, 192,  nulll, -1, 46
Zone6, B272G83, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B163D83, false, ME, null, null, null, 38, 46, 34,  nulll, -1, 38
Zone6, B420H83, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B517R84, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B320C84, false, EE, null, null, null, 71, 100, 192,  nulll, -1, 71
Zone6, B215N84, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B654A84, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B212M84, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B527C84, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B130W84, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B196F84, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B602J84, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B187F84, false, ME, null, null, null, 38, 147, 192,  nulll, -1, 38
Zone6, B390D84, false, ME, null, null, null, 38, 147, 189,  nulll, -1, 38
Zone6, B315N84, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B425E84, false, EE, null, null, null, 71, 100, 192,  nulll, -1, 71
Zone6, B226P84, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B234R84, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B139T85, false, ME, null, null, null, 38, 147, 192,  nulll, -1, 38
Zone6, B457Y85, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B636E85, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B575W85, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B170V85, false, ME, null, null, null, 38, 147, 100,  nulll, -1, 38
Zone6, B448B85, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B262P85, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B405Z85, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B150T85, false, EE, null, null, null, 71, 97, 100,  nulll, -1, 71
Zone6, B169T85, false, ME, null, null, null, 38, 147, 100,  nulll, -1, 38
Zone6, B580P85, false, EC, null, null, null, 46, 34, 100,  nulll, -1, 46
Zone6, B521R85, false, ME, null, null, null, 38, 147, 100,  nulll, -1, 38
Zone6, B215P85, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B661C85, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B177H86, false, ME, null, null, null, 38, 147, 100,  nulll, -1, 38
Zone6, B166M86, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B419G86, false, ME, null, null, null, 38, 31, 34,  nulll, -1, 38
Zone6, B397K86, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B253S86, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B449M86, false, ME, null, null, null, 38, 31, 192,  nulll, -1, 38
Zone6, B563Y86, false, ME, null, null, null, 38, 147, 100,  nulll, -1, 38
Zone6, B347G86, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B266T86, false, ME, null, null, null, 38, 147, 100,  nulll, -1, 38
Zone6, B349P86, false, ME, null, null, null, 38, 31, 192,  nulll, -1, 38
Zone6, B121U86, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B343G86, false, ME, null, null, null, 38, 31, 34,  nulll, -1, 38
Zone6, B539H86, false, ME, null, null, null, 38, 147, 192,  nulll, -1, 38
Zone6, B267U86, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B300G86, false, EE, null, null, null, 71, 100, 34,  nulll, -1, 71
Zone6, B543U86, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
Zone6, B389E86, false, ME, null, null, null, 38, 147, 192,  nulll, -1, 38
Zone6, B281E86, false, ME, null, null, null, 38, 31, 34,  nulll, -1, 38
Zone6, B246F86, false, ME, null, null, null, 38, 147, 100,  nulll, -1, 38
Zone6, B471E86, false, ME, null, null, null, 38, 147, 34,  nulll, -1, 38
